Tanggal Kurs;Kurs
02/09/2016;3.64E-07
05/09/2016;2.34E-05
06/09/2016;7.05E-06
07/09/2016;3.35E-05
08/09/2016;9.34E-08
09/09/2016;5.84E-09
13/09/2016;2.23E-05
14/09/2016;3.41E-05
15/09/2016;8.28E-06
16/09/2016;2.01E-05
19/09/2016;6.30E-06
20/09/2016;2.80E-06
21/09/2016;2.08E-07
22/09/2016;1.45E-05
23/09/2016;0
26/09/2016;2.83E-06
27/09/2016;1.41E-05
28/09/2016;6.06E-05
29/09/2016;4.04E-06
30/09/2016;1.26E-05
03/10/2016;8.52E-07
04/10/2016;2.86E-06
05/10/2016;2.90E-07
06/10/2016;5.33E-08
07/10/2016;5.92E-07
10/10/2016;6.46E-06
11/10/2016;3.14E-06
12/10/2016;5.68E-06
13/10/2016;1.47E-07
14/10/2016;2.12E-06
17/10/2016;2.88E-07
18/10/2016;5.87E-07
19/10/2016;8.07E-06
20/10/2016;3.79E-07
21/10/2016;2.61E-06
24/10/2016;4.29E-06
25/10/2016;3.68E-06
26/10/2016;3.69E-06
27/10/2016;5.32E-06
28/10/2016;2.59E-06
31/10/2016;5.29E-08
01/11/2016;1.32E-06
02/11/2016;2.84E-06
03/11/2016;3.76E-07
04/11/2016;1.64E-05
07/11/2016;2.57E-06
08/11/2016;3.74E-07
09/11/2016;2.10E-07
10/11/2016;6.74E-06
11/11/2016;0.000307338
14/11/2016;3.59E-07
15/11/2016;2.25E-06
16/11/2016;4.55E-07
17/11/2016;8.08E-06
18/11/2016;2.95E-06
21/11/2016;5.00E-06
22/11/2016;1.09E-06
23/11/2016;1.33E-05
24/11/2016;2.46E-05
25/11/2016;4.90E-06
28/11/2016;5.81E-05
29/11/2016;3.69E-05
30/11/2016;1.07E-06
01/12/2016;1.96E-06
02/12/2016;1.83E-05
05/12/2016;3.50E-07
06/12/2016;6.80E-05
07/12/2016;2.66E-05
08/12/2016;5.77E-06
09/12/2016;6.14E-06
13/12/2016;4.42E-06
14/12/2016;3.26E-06
15/12/2016;3.79E-05
16/12/2016;1.94E-05
19/12/2016;1.13E-05
20/12/2016;8.04E-07
21/12/2016;3.55E-05
22/12/2016;7.98E-06
23/12/2016;6.77E-06
27/12/2016;6.39E-06
28/12/2016;6.70E-07
29/12/2016;3.73E-06
30/12/2016;7.56E-06
31/12/2016;0
03/01/2017;1.33E-05
04/01/2017;2.70E-07
05/01/2017;6.47E-05
06/01/2017;2.96E-06
09/01/2017;8.08E-06
10/01/2017;2.37E-05
11/01/2017;2.76E-07
12/01/2017;8.59E-06
13/01/2017;2.26E-06
16/01/2017;1.19E-05
17/01/2017;4.08E-06
18/01/2017;1.58E-05
19/01/2017;1.29E-05
20/01/2017;2.01E-07
23/01/2017;5.59E-07
24/01/2017;9.90E-06
25/01/2017;5.62E-07
26/01/2017;1.27E-06
27/01/2017;6.49E-06
30/01/2017;3.23E-06
